title|media|date|desc
O adeus da Petrobras ao Amazonas|VEJA|01/07/2020|A Petrobras está se desfazendo dos negócios no Amazonas, apesar de ser uma  das regiões com maior potencial de produção de gás do país.
Petrobras vê adesão de mais de 20% dos funcionários a planos de demissão|UOL Economia|01/07/2020|A estatal gostaria de ter parte das refinarias com a venda concluída em  2021, segundo a diretora. O desinvestimento da participação da Petrobras na  petroquímica...
MyCap inclui Gerdau, Petrobras, Qualicorp e Eztec em carteira de julho|Money Times|01/07/2020|MyCap inclui Gerdau, Petrobras, Qualicorp e Eztec em carteira de julho.  Márcio Juliboni. Por Márcio Juliboni. 01/07/2020 - 15:44.
Para Lula, proximidade entre FBI e Lava Jato tinha Petrobras como objetivo|UOL Notícias|01/07/2020|"""O objetivo era a Petrobras. Era o Pré-Sal. E as empresas brasileiras que  estavam ganhando licitações das empresas dos EUA no Oriente Médio. Um dia  essa..."
Estas são as projeções do Safra para o setor farmacêutico|SpaceMoney|01/07/2020|Ibovespa sobe 2%, aos 100 mil pts., com Petrobras (PETR4) e Vale (VALE3);  dólar cai 0,5%, a R$ 5,22. 16h05 - 27 Jun 2022 · [OGF - VIP - SPACENOW  DESKTOP]...
Busca por Retorno Impulsiona Demanda dos Títulos de 100 ...|Investing.com|01/07/2020|CVM abre processo após notícia que antecipou renúncia de presidente da  Petrobras · Petrobras: José Mauro Coelho pede demissão do cargo de  presidente da...
Colheita de café da Cooxupé atinge 29% do total até 26 de junho|Money Times|01/07/2020|... Se havia dúvida de que a Petrobras (PETR4) amarrava preço do etanol nas  usinas, não há mais · Celulose é o novo minério de ferro?
Itaú BBA troca Metal Leve por Vivo em sua carteira mensal de dividendos|Money Times|01/07/2020|... CVC (CVCB3), Petrobras (PETR4) e outras empresas para ficar de olho  hoje · Sanepar (SAPR11) pagará R$ 154 milhões em juros sobre o capital  próprio...
Rumo anuncia primeira emissão de green notes no valor de US$ 500 milhões|Money Times|01/07/2020|... Se havia dúvida de que a Petrobras (PETR4) amarrava preço do etanol nas  ... Dividendos, Petrobras (PETR4), Vale (VALE3) e outros destaques em  Comprar ou...
Opinião: Diante de mares turbulentos um colete pode salvar vidas|Money Times|01/07/2020|Gasolina e etanol têm primeira queda de preço depois de três meses de altas  · Se havia dúvida de que a Petrobras (PETR4) amarrava preço do etanol nas  usinas...
