title|media|date|desc
Após comentários, Petrobras nega antecipação de reajuste|Exame|01/11/2021|A Petrobras afirmou nesta segunda-feira que não antecipa decisões de  reajustes de preços de combustíveis, após o presidente Jair Bolsonaro ter  afirmado mais...
Petrobras diz que não antecipa decisões de reajuste de combustíveis|Agência Brasil|01/11/2021|Publicado em 01/11/2021 - 17:36 Por Ana Cristina Campos – Repórter da  Agência Brasil - Rio de Janeiro. A Petrobras informou na tarde de hoje (1º)  que não...
Bolsonaro quer usar dividendos da Petrobras para reduzir preço do diesel|Valor Econômico|01/11/2021|"Na semana passada, o presidente havia defendido um ""viés social"" para a  Petrobras e afirmou que a empresa deveria lucrar menos. Petrobras Posto de  Gasolina..."
Bolsa sobe com ajuda de Vale e Petrobras, mas dólar mantém alta e fecha em R$ 5,67|O Globo|01/11/2021|Juros Futuros sobem · Petrobras se recupera · Semana tem Fed e ata do Copom  · XP corta preço-alvo do Ibovespa · Bolsas no exterior.
Entenda por que as ações da Petrobras subiram nesta segunda-feira (1º)|CNN Brasil|01/11/2021|“A Petrobras anuncia, isso eu sei extraoficialmente, novo reajuste em 20  dias”, disse Bolsonaro. “Isso não pode acontecer. A gente não aguenta,  porque o preço...
Ações da Petrobras ignoram Bolsonaro e sobem mais de 3%|Você SA|01/11/2021|Além da Petrobras, quem brilhou também foi o banco Inter, cujos papéis  tiveram impressionantes altas de 19,18% (BIDI11) e 18,40% (BIDI4),  liderando o ranking do...
Sefaz ao Sindipostos: ICMS da gasolina não muda desde 2016|Diario do Nordeste|01/11/2021|A política de preços da Petrobras, baseada nas cotações internacionais do  petróleo e do dólar, ocasiona os valores elevados que vêm sendo praticados  nos...
Bank of America vê petróleo tocar US$100 em 2022 e destaca ...|TC|01/11/2021|O banco vê o barril do Brent, referência internacional, pode tocar US$100  em 2022, e alerta sobre riscos à Petrobras devido ao crescente debate sobre  os...
Gasolina a quase R$ 10: Fernando de Noronha tem o combustível mais caro do Brasil|Autoesporte|01/11/2021|Por lá, o litro do óleo diesel ainda custa R$ 7,65. Depois do último  reajuste da Petrobras, a gasolina acumula alta de 73% no ano...
Brasil é potência petrolífera, mas quem se beneficia são os abutres|Brasil 247|01/11/2021|Há poucos dias o “arguto” Paulo Guedes falou que o Brasil teria que vender  rapidamente a Petrobrás, porque daqui a 30 anos ela não valerá mais nada.
